Moderate Positive Skew,Highly Positive Skew,Moderate Negative Skew,Highly Negative Skew,Moderate Positive Skew Log,Highly Positive Skew Log,Moderate Negative Skew Log,Highly Negative Skew Log
0.899990324,2.895073786,11.18074757,9.027484718,-0.105371267,1.063010598,2.414193332,2.200273781
1.1135538,2.962384883,10.84293804,9.009761974,0.107556523,1.085994648,2.383513996,2.198308653
1.156830061,2.966377528,10.81793375,9.006134119,0.145683558,1.087341521,2.381205289,2.197905914
1.264130883,3.000323728,10.76456973,9.000125381,0.234384837,1.098720192,2.376260161,2.197238508
1.323914336,3.012108871,10.75311685,8.981296134,0.280592755,1.102640455,2.375195652,2.195144208
1.342576932,3.01813753,10.7206792,8.977753897,0.294590851,1.104639929,2.372174512,2.194749728
1.359727285,3.026771094,10.71835752,8.969744345,0.307284154,1.107496406,2.371957927,2.193857175
1.404695892,3.028970425,10.66774101,8.96233499,0.339820832,1.108222768,2.367224329,2.193030795
1.409987583,3.045470608,10.65886077,8.957279461,0.343580898,1.11365544,2.366391543,2.192466549
1.420834503,3.047524877,10.6434653,8.950892207,0.351244377,1.114329745,2.364946117,2.191753215
1.517780568,3.057654069,10.64010178,8.950248614,0.417249115,1.117647978,2.36463005,2.19168131
1.526018161,3.057836177,10.58222742,8.943997921,0.422661834,1.117707534,2.359175935,2.190982684
1.574709127,3.058379955,10.56989581,8.94005272,0.454070574,1.117885349,2.358009943,2.190541486
1.579404752,3.061771105,10.55197286,8.937017069,0.457048037,1.118993541,2.356312843,2.190201872
1.601534175,3.066731158,10.5426547,8.925590929,0.470962029,1.120612225,2.35542938,2.188922536
1.632611312,3.075216784,10.53721036,8.925331873,0.490180765,1.123375398,2.354912836,2.188893512
1.641438092,3.076040338,10.5086713,8.923691344,0.495572743,1.123643165,2.352200754,2.188709689
1.661322411,3.076369076,10.50197678,8.922803426,0.507613918,1.12375003,2.351563504,2.188610183
1.664076844,3.08107611,10.49954008,8.919253816,0.509270522,1.125278922,2.351331454,2.18821229
1.686933512,3.1053906,10.49228476,8.9190137,0.522912391,1.133139505,2.350640202,2.188185369
1.691226949,3.109183328,10.49216078,8.913085375,0.525454271,1.134360096,2.350628386,2.187520464
1.727666466,3.112826668,10.40632368,8.91240815,0.546771634,1.13553121,2.342413668,2.18744448
1.733261065,3.117901138,10.39765388,8.911422669,0.550004643,1.137160063,2.341580192,2.1873339
1.743704408,3.126974101,10.37912793,8.910766127,0.55601182,1.140065796,2.33979686,2.187260223
1.745540542,3.12994061,10.37243778,8.908916199,0.557064274,1.14101403,2.339152075,2.187052595
1.762265054,3.132482133,10.37239359,8.906953915,0.566599944,1.141825704,2.339147814,2.18683231
1.762504764,3.136414992,10.36673969,8.904105636,0.566735959,1.143080425,2.338602575,2.186512478
1.766044351,3.147068824,10.35222686,8.899912788,0.568742216,1.146471488,2.337201652,2.186041478
1.79191137,3.149993698,10.32522694,8.898993581,0.583282855,1.147400452,2.334590118,2.18593819
1.803202886,3.152385984,10.31212476,8.894959077,0.589564465,1.148159621,2.333320364,2.18548472
1.830432378,3.152392074,10.29992902,8.894464163,0.604552211,1.148161553,2.332137004,2.185429079
1.843503433,3.16206039,10.2611029,8.892172874,0.611667801,1.151223837,2.328360329,2.185171437
1.845153713,3.163162357,10.25963603,8.88875356,0.612562587,1.151572273,2.328217364,2.184786833
1.847564921,3.163782484,10.2545672,8.882320384,0.613868513,1.1517683,2.327723187,2.184062827
1.854189077,3.16511977,10.24680703,8.878490522,0.617447445,1.152190897,2.326966148,2.183631556
1.863928922,3.169878364,10.23565202,8.872798173,0.622686584,1.153693216,2.325876922,2.182990211
1.887432577,3.173849421,10.23519938,8.87188382,0.635217481,1.15494518,2.325832699,2.182887155
1.892959603,3.182660785,10.23506106,8.867901224,0.638141532,1.157717572,2.325819185,2.182438153
1.895900269,3.184870713,10.22858894,8.863936276,0.639693802,1.158411696,2.325186637,2.181990941
